Requirement_ID,Activity_Name,Priority,Confidence,Combined_Score,Match_Quality,Req_Quality_Grade,Req_Quality_Score,Quality_Issues,Explanation_Summary,Shared_Terms,Assigned_Engineer,Due_Date,Status,Estimated_Hours,Engineering_Notes
P.9,2.3.2 Regulate System Temperature,QUICK-REVIEW,HIGH,1.419,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,"Semantic: High | Shared: system, temperature | Quality: GOOD","system, temperature",,,PENDING,0.5,
P.9,6.1.1.1 Measure Temperature,QUICK-REVIEW,HIGH,1.384,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: temperature | Quality: GOOD,temperature,,,PENDING,0.5,
P.9,2.3.1 Monitor Thermal Environment,QUICK-REVIEW,HIGH,1.202,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: thermal | Quality: GOOD,thermal,,,PENDING,0.5,
P.9,2.2.2 Condition Power,QUICK-REVIEW,HIGH,1.192,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: condition | Quality: GOOD,condition,,,PENDING,0.5,
P.9,1.3.1 Monitor Microgravity Conditions,QUICK-REVIEW,HIGH,1.161,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: High | Shared: condition | Quality: GOOD,condition,,,PENDING,0.5,
P.8,2.2.8 Store Electrical Energy,QUICK-REVIEW,HIGH,1.395,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: energy | Quality: GOOD,energy,,,PENDING,0.5,
P.8,1.2.2 Analyze Production Efficiency,QUICK-REVIEW,HIGH,1.308,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: efficiency | Quality: GOOD,efficiency,,,PENDING,0.5,
P.8,2.2.3 Distribute Power,QUICK-REVIEW,HIGH,1.007,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: power | Quality: GOOD,power,,,PENDING,0.5,
P.8,2.2.2 Condition Power,QUICK-REVIEW,HIGH,1.005,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: power | Quality: GOOD,power,,,PENDING,0.5,
P.8,2.2.5 Transmit Electrical Power,QUICK-REVIEW,HIGH,0.966,MODERATE,EXCELLENT,100.0,None,Semantic: Medium | Shared: power | Quality: MODERATE,power,,,PENDING,0.5,
P.7,6.2.1 Evaluate Performance Metrics (Autonomous analysis),QUICK-REVIEW,HIGH,1.287,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: metric | Quality: GOOD,metric,,,PENDING,0.5,
P.7,1.1.7 Monitor Fiber Quality,QUICK-REVIEW,HIGH,1.078,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: quality | Quality: GOOD,quality,,,PENDING,0.5,
P.7,4.1.5 Transfer Preform to Production,QUICK-REVIEW,HIGH,0.933,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
P.7,4.2.5 Store Manufactured Product,QUICK-REVIEW,HIGH,0.928,MODERATE,EXCELLENT,100.0,None,Semantic: Medium | Shared: product | Quality: MODERATE,product,,,PENDING,0.5,
P.7,1.2.3 Detect Production Anomalies,QUICK-REVIEW,HIGH,0.922,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
